open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1609459200000,1500.000000,1507.441806,1496.040789,1502.665750,573.059129,1609473599999,861116.325227,100,50,50000,0
1609473600000,1502.665750,1509.054578,1485.805816,1489.608897,388.729558,1609487999999,579055.008519,100,50,50000,0
1609488000000,1489.608897,1515.429465,1479.921160,1511.834274,511.950991,1609502399999,773985.055502,100,50,50000,0
1609502400000,1511.834274,1523.942278,1506.280314,1521.472241,1017.419038,1609516799999,1547974.824556,100,50,50000,0
1609516800000,1521.472241,1537.267853,1520.744884,1529.063031,809.034817,1609531199999,1237065.229963,100,50,50000,0
1609531200000,1529.063031,1531.261603,1487.336452,1494.198333,750.554903,1609545599999,1121477.884625,100,50,50000,0
1609545600000,1494.198333,1514.435711,1492.383801,1509.213198,1189.878431,1609559999999,1795780.231765,100,50,50000,0
1609560000000,1509.213198,1534.247010,1506.223097,1529.691544,1222.172233,1609574399999,1869546.531314,100,50,50000,0
1609574400000,1529.691544,1537.286984,1500.964919,1502.397922,205.586724,1609588799999,308873.067055,100,50,50000,0
1609588800000,1502.397922,1510.292063,1499.623105,1503.143618,79.850492,1609603199999,120026.757267,100,50,50000,0
1609603200000,1503.143618,1522.669686,1501.622658,1522.294161,339.065655,1609617599999,516157.666117,100,50,50000,0
1609617600000,1522.294161,1528.396963,1519.673608,1520.115905,383.322237,1609631999999,582694.228998,100,50,50000,0
1609632000000,1520.115905,1524.094437,1510.336328,1514.157432,412.296828,1609646399999,624282.306119,100,50,50000,0
1609646400000,1514.157432,1519.944536,1498.571670,1499.688147,176.054596,1609660799999,264026.991365,100,50,50000,0
1609660800000,1499.688147,1505.874679,1469.382163,1470.639531,1335.428458,1609675199999,1963933.880844,100,50,50000,0
1609675200000,1470.639531,1473.417403,1453.376929,1458.870082,277.653409,1609689599999,405060.252127,100,50,50000,0
1609689600000,1458.870082,1475.892589,1454.963978,1474.551294,1013.397312,1609703999999,1494306.317698,100,50,50000,0
1609704000000,1474.551294,1489.100252,1473.828464,1484.318452,594.605073,1609718399999,882583.281386,100,50,50000,0
1609718400000,1484.318452,1489.998537,1469.064792,1470.901998,29.110473,1609732799999,42818.652905,100,50,50000,0
1609732800000,1470.901998,1486.146288,1470.260197,1482.962680,506.163141,1609747199999,750621.047453,100,50,50000,0
1609747200000,1482.962680,1483.397912,1470.390642,1478.236608,299.237310,1609761599999,442343.546354,100,50,50000,0
1609761600000,1478.236608,1480.853888,1465.100989,1467.976354,328.570044,1609775999999,482333.055777,100,50,50000,0
1609776000000,1467.976354,1468.263097,1448.213445,1449.465546,1173.998692,1609790399999,1701670.655002,100,50,50000,0
1609790400000,1449.465546,1453.308212,1439.534072,1439.939715,776.852890,1609804799999,1118621.329692,100,50,50000,0
1609804800000,1439.939715,1443.070168,1403.972333,1409.674424,379.713205,1609819199999,535271.993337,100,50,50000,0
1609819200000,1409.674424,1410.776952,1380.956622,1387.854800,297.137069,1609833599999,412383.107477,100,50,50000,0
1609833600000,1387.854800,1387.878392,1383.398170,1383.431978,700.746987,1609847999999,969435.790492,100,50,50000,0
1609848000000,1383.431978,1388.066187,1347.069007,1353.606336,563.699081,1609862399999,763026.647804,100,50,50000,0
1609862400000,1353.606336,1356.652974,1347.013225,1348.818647,765.880509,1609876799999,1033033.911105,100,50,50000,0
1609876800000,1348.818647,1353.082292,1341.282894,1346.083141,819.410498,1609891199999,1102994.657483,100,50,50000,0
1609891200000,1346.083141,1347.315612,1332.648335,1338.954543,797.054153,1609905599999,1067219.279435,100,50,50000,0
1609905600000,1338.954543,1349.008864,1334.842500,1343.506503,838.965300,1609919999999,1127155.335274,100,50,50000,0
1609920000000,1343.506503,1343.734300,1331.661454,1335.461750,488.617050,1609934399999,652529.380230,100,50,50000,0
1609934400000,1335.461750,1337.985362,1329.460103,1335.749157,678.567900,1609948799999,906396.501030,100,50,50000,0
1609948800000,1335.749157,1345.891532,1334.213005,1341.933982,513.166545,1609963199999,688635.625703,100,50,50000,0
1609963200000,1341.933982,1365.180626,1337.682602,1358.540684,884.791773,1609977599999,1202025.620802,100,50,50000,0
1609977600000,1358.540684,1358.826434,1339.034584,1341.863407,431.947116,1609991999999,579614.028312,100,50,50000,0
1609992000000,1341.863407,1359.275446,1336.260172,1350.417298,893.097987,1610006399999,1206054.969387,100,50,50000,0
1610006400000,1350.417298,1354.853336,1348.742874,1351.024115,436.171672,1610020799999,589278.446997,100,50,50000,0
1610020800000,1351.024115,1371.532408,1349.084591,1368.408713,786.091963,1610035199999,1075695.090613,100,50,50000,0
1610035200000,1368.408713,1370.803359,1355.636571,1356.091101,907.873987,1610049599999,1231159.833513,100,50,50000,0
1610049600000,1356.091101,1358.265261,1317.157000,1320.168064,849.800162,1610063999999,1121879.034364,100,50,50000,0
1610064000000,1320.168064,1322.382256,1311.575559,1313.458697,552.722191,1610078399999,725977.768676,100,50,50000,0
1610078400000,1313.458697,1316.917319,1284.458777,1287.964289,1016.661337,1610092799999,1309423.496062,100,50,50000,0
1610092800000,1287.964289,1309.157645,1283.157118,1308.002811,94.716571,1610107199999,123889.541238,100,50,50000,0
1610107200000,1308.002811,1324.903941,1297.136333,1324.743713,125.624368,1610121599999,166420.091331,100,50,50000,0
1610121600000,1324.743713,1326.088838,1320.325704,1320.649850,754.573539,1610135999999,996527.430680,100,50,50000,0
1610136000000,1320.649850,1325.532933,1317.084248,1319.407857,784.417955,1610150399999,1034967.213017,100,50,50000,0
1610150400000,1319.407857,1320.486488,1289.106756,1291.020149,366.731183,1610164799999,473457.347000,100,50,50000,0
1610164800000,1291.020149,1307.161324,1290.508528,1306.123154,1027.894225,1610179199999,1342556.447391,100,50,50000,0
1610179200000,1306.123154,1306.800926,1303.389133,1305.807413,510.467008,1610193599999,666571.603581,100,50,50000,0
1610193600000,1305.807413,1311.644112,1290.459016,1291.314500,994.118142,1610207999999,1283719.170688,100,50,50000,0
1610208000000,1291.314500,1302.744110,1289.768184,1299.110667,1051.971730,1610222399999,1366627.695716,100,50,50000,0
1610222400000,1299.110667,1304.090939,1298.339628,1303.247781,89.063348,1610236799999,116071.610411,100,50,50000,0
1610236800000,1303.247781,1306.553499,1298.639313,1302.970139,445.218857,1610251199999,580106.875790,100,50,50000,0
1610251200000,1302.970139,1314.312465,1301.124172,1311.711155,849.543849,1610265599999,1114356.143520,100,50,50000,0
1610265600000,1311.711155,1311.820527,1282.262382,1289.530110,731.602214,1610279999999,943423.083316,100,50,50000,0
1610280000000,1289.530110,1291.441718,1288.306059,1289.727772,239.228395,1610294399999,308539.504720,100,50,50000,0
1610294400000,1289.727772,1295.960048,1289.333986,1293.780249,897.763984,1610308799999,1161509.311505,100,50,50000,0
1610308800000,1293.780249,1294.499778,1292.731220,1293.424195,348.383046,1610323199999,450607.060536,100,50,50000,0
1610323200000,1293.424195,1304.251591,1285.981448,1301.723894,1109.386027,1610337599999,1444114.298776,100,50,50000,0
1610337600000,1301.723894,1303.860499,1284.004874,1284.739202,1239.387750,1610351999999,1592290.029973,100,50,50000,0
1610352000000,1284.739202,1288.106277,1271.922533,1276.357863,731.928146,1610366399999,934202.244206,100,50,50000,0
1610366400000,1276.357863,1290.217704,1274.829149,1288.666107,953.450214,1610380799999,1228678.975589,100,50,50000,0
1610380800000,1288.666107,1316.307643,1286.303674,1314.990751,1333.242879,1610395199999,1753202.054057,100,50,50000,0
1610395200000,1314.990751,1316.001329,1295.948901,1303.081896,457.958949,1610409599999,596758.015366,100,50,50000,0
1610409600000,1303.081896,1323.942014,1302.469749,1322.037398,251.219546,1610423999999,332121.634508,100,50,50000,0
1610424000000,1322.037398,1322.655253,1302.715681,1306.517039,322.307233,1610438399999,421099.892051,100,50,50000,0
1610438400000,1306.517039,1321.628223,1306.103845,1316.068445,1055.906060,1610452799999,1389644.647376,100,50,50000,0
1610452800000,1316.068445,1316.086692,1302.742709,1305.766342,487.692356,1610467199999,636812.263819,100,50,50000,0
1610467200000,1305.766342,1307.554395,1295.947766,1300.729401,972.977577,1610481599999,1265580.540792,100,50,50000,0
1610481600000,1300.729401,1321.032985,1295.783675,1314.652366,294.779854,1610495999999,387533.032452,100,50,50000,0
1610496000000,1314.652366,1315.048388,1309.239038,1314.246767,738.016138,1610510399999,969935.322626,100,50,50000,0
1610510400000,1314.246767,1314.777044,1307.948444,1309.125923,1060.582962,1610524799999,1388436.648852,100,50,50000,0
1610524800000,1309.125923,1311.609106,1300.178075,1304.385803,121.059510,1610539199999,157908.306384,100,50,50000,0
1610539200000,1304.385803,1306.285642,1296.177970,1297.642984,1053.062678,1610553599999,1366499.396057,100,50,50000,0
1610553600000,1297.642984,1321.271776,1295.703013,1314.222215,304.215073,1610567999999,399806.207611,100,50,50000,0
1610568000000,1314.222215,1325.570310,1307.760952,1321.474577,782.945838,1610582399999,1034643.020281,100,50,50000,0
1610582400000,1321.474577,1333.646314,1320.702778,1328.890138,486.838900,1610596799999,646955.412271,100,50,50000,0
1610596800000,1328.890138,1358.259565,1324.022874,1350.093855,583.169360,1610611199999,787333.368822,100,50,50000,0
1610611200000,1350.093855,1354.943649,1342.209071,1345.808257,663.376647,1610625599999,892777.769310,100,50,50000,0
1610625600000,1345.808257,1349.802061,1342.572133,1346.878517,682.531675,1610639999999,919287.250377,100,50,50000,0
1610640000000,1346.878517,1355.546180,1341.601573,1353.244817,1038.762546,1610654399999,1405700.030476,100,50,50000,0
1610654400000,1353.244817,1353.574767,1330.143626,1333.287244,945.459727,1610668799999,1260569.394228,100,50,50000,0
1610668800000,1333.287244,1351.447348,1326.303027,1349.192809,999.741399,1610683199999,1348843.906703,100,50,50000,0
1610683200000,1349.192809,1361.450509,1345.841491,1359.247193,1059.355116,1610697599999,1439925.468132,100,50,50000,0
1610697600000,1359.247193,1372.134384,1354.737799,1368.965345,52.734472,1610711999999,72191.664390,100,50,50000,0
1610712000000,1368.965345,1384.746066,1366.343813,1383.176315,689.151292,1610726399999,953217.745347,100,50,50000,0
1610726400000,1383.176315,1402.057393,1380.295889,1397.498684,946.677365,1610740799999,1322980.371238,100,50,50000,0
1610740800000,1397.498684,1420.545379,1396.302822,1414.636972,334.561786,1610755199999,473283.471181,100,50,50000,0
1610755200000,1414.636972,1428.728619,1411.807016,1425.421802,575.799714,1610769599999,820757.465911,100,50,50000,0
1610769600000,1425.421802,1458.273949,1419.447586,1453.888606,1217.910582,1610783999999,1770706.318600,100,50,50000,0
1610784000000,1453.888606,1472.504806,1449.719265,1472.255972,285.520847,1610798399999,420359.771852,100,50,50000,0
1610798400000,1472.255972,1475.469104,1460.214324,1465.748797,512.458791,1610812799999,751135.856644,100,50,50000,0
1610812800000,1465.748797,1472.438060,1447.531593,1452.168020,429.015867,1610827199999,623003.121414,100,50,50000,0
1610827200000,1452.168020,1457.821372,1435.964893,1441.406991,421.097858,1610841599999,606973.395962,100,50,50000,0
1610841600000,1441.406991,1443.871725,1423.912243,1426.303485,260.670453,1610855999999,371795.175814,100,50,50000,0
1610856000000,1426.303485,1451.750448,1423.028832,1451.357914,556.652651,1610870399999,807902.229606,100,50,50000,0
1610870400000,1451.357914,1451.837874,1430.789138,1440.342403,789.638026,1610884799999,1137349.131965,100,50,50000,0
1610884800000,1440.342403,1443.000089,1425.574987,1429.231632,835.630787,1610899199999,1194309.953615,100,50,50000,0
1610899200000,1429.231632,1437.627539,1422.081280,1422.783680,853.692875,1610913599999,1214620.290767,100,50,50000,0
1610913600000,1422.783680,1438.575279,1421.346608,1435.000212,1081.725264,1610927999999,1552275.982977,100,50,50000,0
1610928000000,1435.000212,1442.591220,1393.090449,1396.995851,1025.593588,1610942399999,1432749.986342,100,50,50000,0
1610942400000,1396.995851,1399.244275,1383.072508,1388.649732,628.408672,1610956799999,872639.533581,100,50,50000,0
1610956800000,1388.649732,1390.431644,1386.352679,1386.419537,855.637524,1610971199999,1186272.579984,100,50,50000,0
1610971200000,1386.419537,1394.604903,1383.310484,1391.212211,799.910712,1610985599999,1112845.550697,100,50,50000,0
1610985600000,1391.212211,1397.720554,1383.101846,1385.737208,323.547253,1610999999999,448351.466457,100,50,50000,0
1611000000000,1385.737208,1393.695665,1364.433552,1364.652603,233.596264,1611014399999,318777.749296,100,50,50000,0
1611014400000,1364.652603,1365.029520,1353.682119,1358.229732,595.099738,1611028799999,808282.157560,100,50,50000,0
